26/06/2023 16:12:45 - Erro ao inserir a linha 163, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 164, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 165, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 166, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 167, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 168, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 169, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 170, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 171, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 172, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 173, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 174, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 175, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 176, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 177, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 178, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 179, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 180, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 181, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 182, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 183, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 184, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 185, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 186, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 187, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 188, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 189, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 190, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 191, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 192, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 193, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 194, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 195, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 196, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 197, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 198, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 199, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 200, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 201, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 202, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 203, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 204, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 205, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 206, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 207, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 208, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 209, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 210, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 211, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 212, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 213, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 214, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 215, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 216, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 217, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 218, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 219, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 220, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 221, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 222, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 223, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 224, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 225, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 226, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 227, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 228, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 229, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 230, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 231, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 232, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 233, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 234, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 235, os dados já existem
26/06/2023 16:12:46 - Erro ao inserir a linha 236, os dados já existem
26/06/2023 16:12:47 - Erro ao inserir a linha 237, os dados já existem
